codigo,nombre,url,imagen,hex,rgb,familia,ambiente
60YY 65/669,Periquito,https://www.alba.com.ar/es/paletas-de-colores/periquito-60yy-65-669-1672525,,#EECD40,"238,205,64",Amarillo,
45YY 83/156,Perla Cultivada,https://www.alba.com.ar/es/paletas-de-colores/perla-cultivada-45yy-83-156-1672115,,#F8E8C9,"248,232,201",Amarillo,
42YY 64/745,Pimienta Cítrica *,https://www.alba.com.ar/es/paletas-de-colores/pimienta-citrica-42yy-64-745-1672048,,#F7C631,"247,198,49",Amarillo,
30YY 39/225,Pimienta del Reino,https://www.alba.com.ar/es/paletas-de-colores/pimienta-del-reino-30yy-39-225-1671854,,#BBA17B,"187,161,123",Amarillo,
71YY 87/078,Playa Blanca,https://www.alba.com.ar/es/paletas-de-colores/playa-blanca-71yy-87-078-1672864,,#F3EEDC,"243,238,220",Amarillo,
50YY 75/104,Pétalo de Almendro,https://www.alba.com.ar/es/paletas-de-colores/petalo-de-almendro-50yy-75-104-1672392,,#E6DCC6,"230,220,198",Amarillo,
30YY 46/608,Rescate del Rey,https://www.alba.com.ar/es/paletas-de-colores/rescate-del-rey-30yy-46-608-1671861,,#E2AC39,"226,172,57",Amarillo,
45YY 73/519,Rosa Amarilla,https://www.alba.com.ar/es/paletas-de-colores/rosa-amarilla-45yy-73-519-1672103,,#FFD571,"255,213,113",Amarillo,
62YY 78/618,Sabor Limón,https://www.alba.com.ar/es/paletas-de-colores/sabor-limon-62yy-78-618-3137158,https://msp.images.akzonobel.com/glb/dh/inspirational-images/Livingroom-234563.png,#FCE462,"252,228,98",Amarillo,
45YY 67/259,Sahara Occidental,https://www.alba.com.ar/es/paletas-de-colores/sahara-occidental-45yy-67-259-1672096,,#E7CF9E,"231,207,158",Amarillo,
60YY 83/094,Sala Blanca,https://www.alba.com.ar/es/paletas-de-colores/sala-blanca-60yy-83-094-1672543,,#EEE6D1,"238,230,209",Amarillo,
